#node1	node2
Ndufs7	Ndufa9
Ndufa12	Ndufab1
mt-Nd6	Ndufs3
Ndufs5	Ndufs3
Ndufv2	Ndufa10
Ndufa8	Ndufs3
Ndufv2	Ndufs7
Ndufb6	Ndufs2
Ndufa8	Ndufb7
Ndufs5	Ndufb9
Ndufa12	Ndufa6
Ndufb5	Ndufb9
Ndufs7	Ndufs6
Ndufv1	Ndufs4
Ndufa12	Ndufa9
Ndufa9	Ndufs4
Ndufb5	Ndufs8
Ndufa9	mt-Nd3
Ndufa5	Ndufs3
Ndufb6	Ndufs1
Ndufs1	Ndufs4
Ndufa9	Ndufa10
Ndufs6	Ndufs2
Ndufv2	mt-Nd1
Ndufa8	Ndufs6
Ndufs1	Ndufb9
mt-Nd5	Ndufs4
Ndufb5	Ndufc2
Ndufa8	Ndufb9
Ndufb5	Ndufa8
Ndufb2	Ndufb3
Ndufs4	Ndufs2
Ndufa3	Ndufa8
Ndufa8	Ndufs4
Ndufa3	Ndufa7
Ndufa12	Ndufs3
Ndufa12	Ndufs8
Ndufa3	Ndufs5
Ndufb11	Ndufa2
Ndufb5	Ndufs4
Ndufa9	Ndufb3
Ndufa5	Ndufb4
Ndufb11	Ndufa6
Ndufa12	Ndufb3
Ndufa8	Ndufs1
Ndufa7	Ndufb4
Ndufa13	Ndufv1
Ndufs5	Ndufa5
Ndufs5	Ndufb8
Ndufa9	Ndufs8
Ndufa9	Ndufb7
Ndufs8	Ndufb3
Ndufa13	Ndufs2
Ndufa13	Ndufa5
Ndufa3	Ndufs2
Ndufa8	Ndufa1
Ndufa13	mt-Nd4
Ndufb5	Ndufb3
Ndufa12	Ndufb6
Ndufb6	Ndufa5
Ndufa12	Ndufv1
Ndufa9	Ndufb10
mt-Nd2	Ndufs3
Ndufa9	Ndufa8
Ndufb5	mt-Nd5
Ndufa13	Ndufa9
mt-Nd4	mt-Nd3
Ndufv2	Ndufa13
Ndufa13	Ndufa7
Ndufs7	Ndufs4
Ndufc1	Ndufa6
Ndufb6	Ndufv1
Ndufa12	Ndufs5
Ndufa8	Ndufa5
Ndufa12	Ndufv2
Ndufa12	Ndufs4
Ndufa13	Ndufs6
Ndufa12	Ndufb9
Ndufb5	Ndufa3
Ndufa8	Ndufb4
Ndufa8	Ndufb8
Ndufa3	Ndufb4
Ndufb5	Ndufa7
Ndufa13	Ndufs8
Ndufa9	mt-Nd5
Ndufa12	Ndufa7
Ndufa12	Ndufs1
Ndufa10	Ndufs2
Ndufa3	Ndufs6
Ndufa13	Ndufc2
Ndufb2	Ndufa8
Ndufa12	Ndufb5
Ndufb6	Ndufb4
Ndufa7	Ndufa5
Ndufb3	Ndufs3
Ndufb5	Ndufs2
Ndufb3	Ndufs6
Ndufa12	Ndufs6
Ndufa8	Ndufc2
Ndufv2	Ndufb5
Ndufa8	Ndufb3
Ndufb6	Ndufa3
Ndufb6	Ndufs6
Ndufa12	Ndufb8
Ndufv2	Ndufa3
Ndufa7	Ndufb9
Ndufv1	Ndufb8
Ndufb9	Ndufs2
Ndufs7	mt-Nd4
Ndufa5	Ndufa11
Ndufa12	Ndufa5
Ndufa13	Ndufs4
Ndufa12	mt-Nd5
Ndufa12	Ndufb10
Ndufb8	Ndufs6
Ndufb2	Ndufa2
Ndufb3	Ndufs4
Ndufb2	Ndufa7
Ndufa13	Ndufa3
mt-Nd1	Ndufs2
Ndufb2	Ndufb4
Ndufb6	Ndufb9
Ndufv2	Ndufc1
Ndufc2	Ndufb4
